common_name;species;genus;family
BUCHUCHU VERMELHO;Miconia spp ;Miconia ;Melastomataceae
MATAMATA AMARELO;Eschweilera grandiflora;Eschweilera ;Lecythidaceae
ANANI;Symphonia globulifera;Symphonia ;Clusiaceae
MUIRAJIBOIA PRETA;Swartzia recurva;Swartzia ;Fabaceae
PUPUNHARANA;Duckeodendron cestroides;Duckeodendron ;Solanaceae
LOURO FOFO;Lauraceae spp ;Lauraceae ;Lauraceae
CARDEIRO;Scleronema micranthum;Scleronema ;Malvaceae
FALSA RAINHA;Helianthostylis sprucei;Helianthostylis ;Moraceae
BREU VERMELHO;Protium apiculatum;Protium ;Burseraceae
QUARUBA VERMELHA;Vochysia cf densiflora;Vochysia ;Vochysiaceae
LOURO PRETO;Aiouea cf lehmannii;Aiouea ;Lauraceae
SERINGARANA;Euphorbiaceae spp ;Euphorbiaceae ;Euphorbiaceae
CORACAO DE NEGRO;Swartzia panacoco;Swartzia ;Fabaceae
ARABA ROXO;Swartzia reticulata;Swartzia ;Fabaceae
SERINGA VERMELHA;Hevea guianensis;Hevea ;Euphorbiaceae
UCUUBA PUNA;Iryanthera spp ;Iryanthera ;Myristicaceae
TINTEIRO;Miconia pyrifolia;Miconia ;Melastomataceae
FAVA PARKIA;Parkia spp ;Parkia ;Fabaceae
EMBAUBARANA;Pourouma spp ;Pourouma ;Urticaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
ENVIRA SURUCUCU;Bocageopsis multiflora;Bocageopsis ;Annonaceae
BREU BRANCO;Protium gallosum;Protium ;Burseraceae
ABIURANA CASCA FINA;Pouteria spp ;Pouteria ;Sapotaceae
LACRE VERMELHO;Vismia spp ;Vismia ;Hypericaceae
INGA VERMELHA;Inga spp ;Inga ;Fabaceae
RABO DE ARARA;Connarus perrottetii;Connarus ;Connaraceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
UCUQUIRANA VERDADEIRA;Chrysophyllum spp ;Chrysophyllum ;Sapotaceae
TINTEIRA;Miconia pyrifolia;Miconia ;Melastomataceae
TAQUARI;Mabea spp ;Mabea ;Euphorbiaceae
SAPATEIRO;Tovomita caloneura;Tovomita ;Clusiaceae
LOURO FOFO;Ocotea cujumary;Ocotea ;Lauraceae
EMBAUBA GIGANTE;Cecropia sciadophylla;Cecropia ;Urticaceae
GOIABA DE ANTA;Bellucia grossularioides;Bellucia ;Melastomataceae
LOURO FOFO;Lauraceae spp ;Lauraceae ;Lauraceae
ENVIRA FOFA;Guatteria olivacea;Guatteria ;Annonaceae
CARDEIRO;Scleronema micranthum;Scleronema ;Malvaceae
ATA BRAVA;Duguetia stelechantha;Duguetia ;Annonaceae
ACHICHA;Sterculia parviflora;Sterculia ;Malvaceae
GAMELEIRA;Indeterminado;#VALOR!;Indeterminado 
PAJURAZINHO;Licania micrantha;Licania ;Chrysobalanaceae
MURICI;Byrsonima duckeana;Byrsonima ;Malpighiaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
CARAPANAUBA;Aspidosperma carapanauba;Aspidosperma ;Apocynaceae
INGA VERMELHA;Fusaea longifolia;Fusaea ;Annonaceae
INGA VERMELHA;Inga paraensis;Inga ;Fabaceae
CASTANHA JACARE;Corythophora rimosa;Corythophora ;Lecythidaceae
CASTANHA JACARE;Corythophora rimosa;Corythophora ;Lecythidaceae
TAPURA;Tapura amazonica;Tapura ;Dichapetalaceae
BUCHUCHU;Miconia spp ;Miconia ;Melastomataceae
ENVIRA TARIPUPU;Xylopia polyantha;Xylopia ;Annonaceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
CASTANHA DE COTIA;Aptandra tubicina;Aptandra ;Olacaceae
RIPEIRO VERMELHO;Eschweilera spp ;Eschweilera ;Lecythidaceae
BREU VERMELHO;Tetragastris panamensis;Tetragastris ;Burseraceae
ABIURANA FEDORENTA;Pouteria campanulata;Pouteria ;Sapotaceae
INGA COPAIBA;Zygia ramiflora;Zygia ;Fabaceae
ENVIRA PRETA;Annonaceae spp ;Annonaceae ;Annonaceae
MUIRATINGA;Helicostylis tomentosa;Helicostylis ;Moraceae
MASSARANDUBA;Manilkara spp ;Manilkara ;Sapotaceae
RIPEIRO BRANCO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
LOURO BRANCO;Aiouea grandifolia;Aiouea ;Lauraceae
UCUUBA BRANCA;Myristicaceae spp ;Myristicaceae ;Myristicaceae
TANIMBUCA;Buchenavia guianesis;Buchenavia ;Combretaceae
MACUCU FOFO;Chrysobalanaceae spp ;Chrysobalanaceae ;Chrysobalanaceae
TAQUARI;Mabea speciosa;Mabea ;Euphorbiaceae
ITAUBA FM;Mezilaurus itauba;Mezilaurus ;Lauraceae
RIPEIRO VERMELHO;Eschweilera spp ;Eschweilera ;Lecythidaceae
INGA VERMELHA;Inga paraensis;Inga ;Fabaceae
TINTEIRA;Miconia minutiflora;Miconia ;Melastomataceae
ENVIRA PRETA;Annonaceae spp ;Annonaceae ;Annonaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
MUIRAJIBOIA AMARELA;Swartzia recurva;Swartzia ;Fabaceae
DIMA;Croton matourensis;Croton ;Euphorbiaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
LACRE VERMELHO;Vismia spp ;Vismia ;Hypericaceae
FAVA AMARELA;Stryphnodendron guianense;Stryphnodendron ;Fabaceae
SERINGARANA;Dodecastigma amazonicum;Dodecastigma ;Euphorbiaceae
TINTEIRO;Miconia pyrifolia;Miconia ;Melastomataceae
PAJURAZINHO;Licania sandwithii;Licania ;Chrysobalanaceae
CASTANHA VERMELHA;Eschweilera atropetiolata;Eschweilera ;Lecythidaceae
RIPEIRO BRANCO;Vantanea parviflora;Vantanea ;Humiriaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
EMBAUBA GIGANTE;Cecropia sciadophylla;Cecropia ;Urticaceae
MUIRAJIBOIA AMARELA;Swartzia recurva;Swartzia ;Fabaceae
SUCUPIRA CHORONA;Andira spp ;Andira ;Fabaceae
GOGO DE GUARIBA;Indeterminado;#VALOR!;Indeterminado 
PAU RAINHA;Brosimum rubescens;Brosimum ;Moraceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
MATAMATA AMARELO;Eschweilera truncata;Eschweilera ;Lecythidaceae
ABIURANA DOURADINHA;Pouteria spp ;Pouteria ;Sapotaceae
ABIURANA FEDORENTA;Pouteria erythrochrysa;Pouteria ;Sapotaceae
EMBAUBARANA;Pourouma spp ;Pourouma ;Urticaceae
ABIURANA LEITE AMARELO;Pouteria reticulata;Pouteria ;Sapotaceae
MUIRAJIBOIA PRETA;Bocoa viridiflora;Bocoa ;Fabaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
MANDIOQUEIRA;Vochysiaceae spp ;Vochysiaceae ;Vochysiaceae
ARABA VERMELHO;Swartzia schomburgkii;Swartzia ;Fabaceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
ANGELIM RAJADO;Zygia racemosa;Zygia ;Fabaceae
RIPEIRO VERMELHO;Corythophora alta;Corythophora ;Lecythidaceae
BUCHUCHU CANELA DE VELHO;Miconia splendens;Miconia ;Melastomataceae
INGA VERMELHA;Inga paraensis;Inga ;Fabaceae
MACUCU;Chrysobalanaceae spp ;Chrysobalanaceae ;Chrysobalanaceae
ARABA ROXO;Swartzia reticulata;Swartzia ;Fabaceae
ARACA BRAVO;Eugenia lambertiana;Eugenia ;Myrtaceae
MATAMATA AMARELO;Eschweilera truncata;Eschweilera ;Lecythidaceae
TACHI PRETO;Tachigali spp ;Tachigali ;Fabaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
BATINGA;Couepia elata;Couepia ;Chrysobalanaceae
LACRE VERMELHO;Vismia spp ;Vismia ;Hypericaceae
ABIURANA BATINGA;Pouteria spp ;Pouteria ;Sapotaceae
DIMA;Croton matourensis;Croton ;Euphorbiaceae
BACURI JACARE;Clusiaceae spp ;Clusiaceae ;Clusiaceae
EMBAUBA GIGANTE;Cecropia sciadophylla;Cecropia ;Urticaceae
LACRE BRANCO;Vismia cayennensis;Vismia ;Hypericaceae
GITO VERMELHO;Guarea spp ;Guarea ;Meliaceae
FAVEIRA PARKIA;Parkia spp ;Parkia ;Fabaceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
SUPIARANA;Alchorneopsis floribunda;Alchorneopsis ;Euphorbiaceae
CARAPANAUBA;Aspidosperma carapanauba;Aspidosperma ;Apocynaceae
DIMA;Croton matourensis;Croton ;Euphorbiaceae
EMBAUBA ROXA;Cecropia purpurascens;Cecropia ;Urticaceae
BREU BRANCO;Tetragastris panamensis;Tetragastris ;Burseraceae
FAVA CAMUZE;Stryphnodendron spp ;Stryphnodendron ;Fabaceae
DIMA;Croton matourensis;Croton ;Euphorbiaceae
ACARIQUARA ROXA;Minquartia guianensis;Minquartia ;Olacaceae
MUIRAJIBOIA JERIMUM;Swartzia tomentifera;Swartzia ;Fabaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
EMBAUBARANA;Pourouma spp ;Pourouma ;Urticaceae
INGA VERMELHA;Inga paraensis;Inga ;Fabaceae
URUCURANA;Sloanea latifolia;Sloanea ;Elaeocarpaceae
CAROBA;Jacaranda copaia;Jacaranda ;Bignoniaceae
CASTANHA JACARE;Corythophora rimosa;Corythophora ;Lecythidaceae
TACHI VERMELHO;Tachigali spp ;Tachigali ;Fabaceae
MARUPA ROXO;Simaba polyphylla;Simaba ;Simaroubaceae
AMAPA AMARGOSO;Moraceae spp ;Moraceae ;Moraceae
ANGELIM RAJADO;Zygia racemosa;Zygia ;Fabaceae
JOAO MOLE;Neea cf robusta;Neea ;Nyctaginaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
ENVIRA FERRO;Inga paraensis;Inga ;Fabaceae
ENVIRA FEDORENTA;Duguetia chrysea;Duguetia ;Annonaceae
ABIURANA BACURI;Ecclinusa guianensis;Ecclinusa ;Sapotaceae
DIMA;Croton matourensis;Croton ;Euphorbiaceae
ENVIRA FOFA;Guatteria olivacea;Guatteria ;Annonaceae
SERINGA VERMELHA;Hevea guianensis;Hevea ;Euphorbiaceae
LOURO PRETO;Ocotea cujumary;Ocotea ;Lauraceae
ABIURANA ABIU;Chrysophyllum amazonicum;Chrysophyllum ;Sapotaceae
LOURO FOFO;Lauraceae spp ;Lauraceae ;Lauraceae
MARMELO;Indeterminado;#VALOR!;Indeterminado 
ABIURANA ABIU;Chrysophyllum amazonicum;Chrysophyllum ;Sapotaceae
CARAIPE;Licania sprucei;Licania ;Chrysobalanaceae
ARACA BRAVO;Myrtaceae spp ;Myrtaceae ;Myrtaceae
ATA DA MATA;Duguetia stelechantha;Duguetia ;Annonaceae
PIMENTA DE NAMBU;Lacistema spp ;Lacistema ;Lacistemataceae
TACHI PRETO;Tachigali spp ;Tachigali ;Fabaceae
BREU VERMELHO;Protium nitidifolium;Protium ;Burseraceae
GITO VERMELHO;Guarea spp ;Guarea ;Meliaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
ARACA BRAVO;Myrtaceae spp ;Myrtaceae ;Myrtaceae
CAFE BRAVO;Kutchubaea insignis;Kutchubaea ;Rubiaceae
UXIRANA;Erythroxylum macrophyllum;Erythroxylum ;Erythroxylaceae
ENVIRA FERRO;Ephedranthus amazonicus;Ephedranthus ;Annonaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
FAVA PARKIA;Parkia decussata;Parkia ;Fabaceae
MURICI DA MATA;Byrsonima duckeana;Byrsonima ;Malpighiaceae
CASTANHA SAPUCAIA;Lecythis zabucajo;Lecythis ;Lecythidaceae
ENVIRA PRETA;Fusaea longifolia;Fusaea ;Annonaceae
INGA BRANCA;Inga spp ;Inga ;Fabaceae
CAPITIU;Siparuna decipiens;Siparuna ;Siparunaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
BRU MANGA;Protium gallosum;Protium ;Burseraceae
ABIURANA OLHO DE VEADO;Pouteria anomala;Pouteria ;Sapotaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
UCHI DE CUTIA;Casearia javitensis;Casearia ;Salicaceae
SERINGARANA;Rhodothyrsus macrophyllus;Rhodothyrsus ;Euphorbiaceae
CASTANHA VERMELHA;Eschweilera atropetiolata;Eschweilera ;Lecythidaceae
TAUARI;Lecythidaceae spp ;Lecythidaceae ;Lecythidaceae
LOURO ARITU;Lauraceae spp ;Lauraceae ;Lauraceae
QUARUBA VERMELHA;Vochysia cf densiflora;Vochysia ;Vochysiaceae
CASTANHA VERMELHA;Eschweilera atropetiolata;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
UXIRANA;Vantanea parviflora;Vantanea ;Humiriaceae
RIPEIRO VERMELHO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
ROSADA BRAVA;Chrysophyllum sanguinolentum;Chrysophyllum ;Sapotaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
CAPITIU;Siparuna decipiens;Siparuna ;Siparunaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
LOURO BOSTA;Lauraceae spp ;Lauraceae ;Lauraceae
ENVIRA FERRO;Ephedranthus amazonicus;Ephedranthus ;Annonaceae
ENVIRA PRETA;Annonaceae spp ;Annonaceae ;Annonaceae
LOURO FOFO;Dicypellium manausense;Dicypellium ;Lauraceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
ENVIRA FOFA;Guatteria spp ;Guatteria ;Annonaceae
RIPEIRO VERMELHO;Eschweilera spp ;Eschweilera ;Lecythidaceae
TAUARI;Lecythidaceae spp ;Lecythidaceae ;Lecythidaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
SERINGA VERMELHA;Hevea guianensis;Hevea ;Euphorbiaceae
URUCURANA;Sloanea spp ;Sloanea ;Elaeocarpaceae
ENVIRA PRETA;Xylopia crinita;Xylopia ;Annonaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
GOGO DE GUARIBA;Indeterminado;#VALOR!;Indeterminado 
LOURO PRETO;Ocotea cujumary;Ocotea ;Lauraceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
FAVA VERMELHA;Macrolobium limbatum;Macrolobium ;Fabaceae
FALSA RAINHA;Helianthostylis sprucei;Helianthostylis ;Moraceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
GOIABINHA;Myrcia spp ;Myrcia ;Myrtaceae
MUIRAJIBOIA PRETA;Bocoa viridiflora;Bocoa ;Fabaceae
CAPITIU;Siparuna decipiens;Siparuna ;Siparunaceae
LOURO PRETO;Lauraceae spp ;Lauraceae ;Lauraceae
ACARIQUARA BRANCA;Geissospermum argenteum;Geissospermum ;Apocynaceae
ANIL;Miconia cf cuspidata;Miconia ;Melastomataceae
ACARIQUARA BRANCA;Geissospermum argenteum;Geissospermum ;Apocynaceae
DIMA;Croton matourensis;Croton ;Euphorbiaceae
CASTANHA JACARE;Corythophora rimosa;Corythophora ;Lecythidaceae
ENVIRA BRANCA;Xylopia nitida;Xylopia ;Annonaceae
ANIL;Miconia cf cuspidata;Miconia ;Melastomataceae
CASTANHA DE MACACO;Cariniana micrantha;Cariniana ;Lecythidaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
ACHICHA;Sterculia parviflora;Sterculia ;Malvaceae
CASTANHA JARANA FM;Lecythis cf gracieana;Lecythis ;Lecythidaceae
UCUUBA VERMELHA;Virola spp ;Virola ;Myristicaceae
PAU CANELA;Anisophyllea manausensis;Anisophyllea ;Anisophylleaceae
CARDEIRO;Scleronema micranthum;Scleronema ;Malvaceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
ARACA BRAVO;Tapirira guianensis;Tapirira ;Anacardiaceae
MASSARANDUBA;Manilkara bidentata;Manilkara ;Sapotaceae
CASTANHA JACARE;Corythophora rimosa;Corythophora ;Lecythidaceae
MACUCU CHIADOR;Myrtaceae spp ;Myrtaceae ;Myrtaceae
ABIURANA OLHO DE VEADO;Micropholis spp ;Micropholis ;Sapotaceae
INHARE;Helianthostylis sprucei;Helianthostylis ;Moraceae
RIPEIRO BRANCO;Corythophora alta;Corythophora ;Lecythidaceae
INGA PELUDA;Inga paraensis;Inga ;Fabaceae
MUIRATINGA;Helianthostylis sprucei;Helianthostylis ;Moraceae
MACUCU FOFO;Licania oblongifolia;Licania ;Chrysobalanaceae
BUCHUCHU CANELA DE VELHO;Miconia minutiflora;Miconia ;Melastomataceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
RIPEIRO VERMELHO;Eschweilera spp ;Eschweilera ;Lecythidaceae
CASTANHA JARANA FM;Lecythis spp ;Lecythis ;Lecythidaceae
LACRE VERMELHO;Vismia spp ;Vismia ;Hypericaceae
INGA VERMELHA;Inga spp ;Inga ;Fabaceae
EMBAUBA GIGANTE;Cecropia sciadophylla;Cecropia ;Urticaceae
ANIL;Miconia cf cuspidata;Miconia ;Melastomataceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
EMBAUBA ROCHA;Cecropia purpurascens;Cecropia ;Urticaceae
TINTEIRA;Miconia minutiflora;Miconia ;Melastomataceae
BUCHUCHU ORELHA DE BURRO;Miconia cf eriodonta;Miconia ;Melastomataceae
ENVIRA FERRO;Ephedranthus amazonicus;Ephedranthus ;Annonaceae
TINTEIRA;Miconia minutiflora;Miconia ;Melastomataceae
LOURO FOFO;Licaria crassifolia;Licaria ;Lauraceae
ABIURANA;Sapotaceae spp ;Sapotaceae ;Sapotaceae
RIPEIRO VERMELHO;Eschweilera spp ;Eschweilera ;Lecythidaceae
FREIJÓ BRANCO;Cordia sagotii;Cordia ;Boraginaceae
ABIURANA CUTITE FP;Chrysophyllum manaosense;Chrysophyllum ;Sapotaceae
ACARIQUARA ROXA;Minquartia guianensis;Minquartia ;Olacaceae
INGA BRANCA;Inga spp ;Inga ;Fabaceae
CASTANHA JARANA FG;Lecythis prancei;Lecythis ;Lecythidaceae
BREU BRANCO;Protium spp ;Protium ;Burseraceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
LOURO FOFO;Rhodostemonodaphne negrensis;Rhodostemonodaphne ;Lauraceae
INGA VERMELHA;Inga paraensis;Inga ;Fabaceae
PIABINHA;Laetia cupulata;Laetia ;Salicaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
EMBAUBARANA;Pourouma spp ;Pourouma ;Urticaceae
TINTEIRA;Miconia minutiflora;Miconia ;Melastomataceae
INGA VERMELHA;Ephedranthus amazonicus;Ephedranthus ;Annonaceae
LOURO PRETO;Ocotea cujumary;Ocotea ;Lauraceae
AZEITONA DA MATA;Myrcia subsericea;Myrcia ;Myrtaceae
TANIMBUCA;Buchenavia spp ;Buchenavia ;Combretaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
SERINGA VERMELHA;Hevea guianensis;Hevea ;Euphorbiaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
PAU RAINHA;Brosimum rubescens;Brosimum ;Moraceae
ABIURANA FEDORENTA;Pouteria spp ;Pouteria ;Sapotaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
LOURO PRETO;Ocotea cujumary;Ocotea ;Lauraceae
LOURO PRETO;Ocotea cujumary;Ocotea ;Lauraceae
INGA BRANCA;Inga spp ;Inga ;Fabaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
CASTANHA VERMELHA;Eschweilera atropetiolata;Eschweilera ;Lecythidaceae
BUCHUCHU FOLHA SERRILHADA;Miconia spp ;Miconia ;Melastomataceae
FALSA CUPIUBA;Goupia glabra;Goupia ;Goupiaceae
ENVIREIRA;Pseudoxandra obscurinervis;Pseudoxandra ;Annonaceae
BUCHUCHU CANELA DE VELHO;Miconia spp ;Miconia ;Melastomataceae
SAPATEIRO;Tovomita spp ;Tovomita ;Clusiaceae
TACHI VERMELHO;Tachigali spp ;Tachigali ;Fabaceae
ANANI;Symphonia globulifera;Symphonia ;Clusiaceae
ENVIRA AMARELA;Duguetia spp ;Duguetia ;Annonaceae
ABIURANA BRANCA;Sapotaceae spp ;Sapotaceae ;Sapotaceae
ABIURANA ABIU;Sapotaceae spp ;Sapotaceae ;Sapotaceae
BRANQUINHA;Rinorea racemosa;Rinorea ;Violaceae
MUIRAPIRANGA FM;Eperua duckeana;Eperua ;Fabaceae
ARABA ROXO;Swartzia reticulata;Swartzia ;Fabaceae
MANDIOQUEIRA LISA;Ruizterania albiflora;Ruizterania ;Vochysiaceae
CACAUI;Theobroma sylvestre;Theobroma ;Malvaceae
BUCHUCHU;Miconia spp ;Miconia ;Melastomataceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
SERINGA VERMELHA;Hevea guianensis;Hevea ;Euphorbiaceae
BUCHUCHU CANELA DE VELHO;Miconia spp ;Miconia ;Melastomataceae
FAVEIRA PARKIA;Parkia spp ;Parkia ;Fabaceae
ACARIQUARA BRANCA;Geissospermum argenteum;Geissospermum ;Apocynaceae
ANGELIM RAJADO;Zygia racemosa;Zygia ;Fabaceae
TINTEIRA;Miconia minutiflora;Miconia ;Melastomataceae
ENVIRA FOFA;Guatteria olivacea;Guatteria ;Annonaceae
UXI DE MORCEGO;Ouratea discophora;Ouratea ;Ochnaceae
ENVIRA FOFA;Guatteria olivacea;Guatteria ;Annonaceae
MARUPA;Simarouba amara;Simarouba ;Simaroubaceae
JARAI;Pouteria spp ;Pouteria ;Sapotaceae
CARDEIRO;Scleronema micranthum;Scleronema ;Malvaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
TACHI VERMELHO;Tachigali spp ;Tachigali ;Fabaceae
INGA VERMELHA;Inga paraensis;Inga ;Fabaceae
BREU MANGA;Burseraceae spp ;Burseraceae ;Burseraceae
PAU PARA TUDO;Simaba cedron;Simaba ;Simaroubaceae
BRANQUINHA;Rinorea racemosa;Rinorea ;Violaceae
LOURO ARITU;Lauraceae spp ;Lauraceae ;Lauraceae
INGA VERMELHA;Inga paraensis;Inga ;Fabaceae
MURTA DA MATA;Myrtaceae spp ;Myrtaceae ;Myrtaceae
PAJURAZINHO;Chrysobalanaceae spp ;Chrysobalanaceae ;Chrysobalanaceae
ABIURANA BRANCA;Sapotaceae spp ;Sapotaceae ;Sapotaceae
UCUUBA BRANCA;Osteophloeum platyspermum;Osteophloeum ;Myristicaceae
INGA VERMELHA;Inga paraensis;Inga ;Fabaceae
ENVIRA FOFA;Guatteria spp ;Guatteria ;Annonaceae
TINTEIRA;Miconia minutiflora;Miconia ;Melastomataceae
TINTEIRA;Miconia minutiflora;Miconia ;Melastomataceae
EMBAUBA GIGANTE;Cecropia sciadophylla;Cecropia ;Urticaceae
ARABA PRETO;Swartzia reticulata;Swartzia ;Fabaceae
PIAOZINHO;Micrandropsis scleroxylon;Micrandropsis ;Euphorbiaceae
CACAUI;Theobroma sylvestre;Theobroma ;Malvaceae
CUPIUBA;Goupia glabra;Goupia ;Goupiaceae
ABIURANA FEDORENTA;Pouteria erythrochrysa;Pouteria ;Sapotaceae
TACHI PRETO;Tachigali spp ;Tachigali ;Fabaceae
TACHI PRETO;Tachigali spp ;Tachigali ;Fabaceae
CARDEIRO;Scleronema micranthum;Scleronema ;Malvaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
UCUUBA VERMELHA;Virola calophylla;Virola ;Myristicaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
JUTAI MIRIM;Pterocarpus officinalis;Pterocarpus ;Fabaceae
ABIURANA BATINGA;Pouteria spp ;Pouteria ;Sapotaceae
CASTANHA JARANA FM;Lecythis spp ;Lecythis ;Lecythidaceae
BREU BRANCO;Toulicia guianensis;Toulicia ;Sapindaceae
CUPIUBA;Goupia glabra;Goupia ;Goupiaceae
BUCHUCHU;Miconia spp ;Miconia ;Melastomataceae
BUCHUCHU FOLHA SERRILHADA;Miconia spp ;Miconia ;Melastomataceae
BUCHUCHU CANELA DE VELHO;Miconia spp ;Miconia ;Melastomataceae
TACHI VERMELHO;Tachigali spp ;Tachigali ;Fabaceae
ABIURANA;Sapotaceae spp ;Sapotaceae ;Sapotaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
ENVIRA PRETA;Annonaceae spp ;Annonaceae ;Annonaceae
MUIRAJIBOIA PRETA;Bocoa viridiflora;Bocoa ;Fabaceae
MACUCU CHIADOR;Licania heteromorpha;Licania ;Chrysobalanaceae
MACUCU FOFO;Chrysobalanaceae spp ;Chrysobalanaceae ;Chrysobalanaceae
TAUARI;Lecythidaceae spp ;Lecythidaceae ;Lecythidaceae
GITO MIRIM;Trichilia micrantha;Trichilia ;Meliaceae
SORVA DA MATA;Couma guianensis;Couma ;Apocynaceae
BREU BRANCO;Protium spp ;Protium ;Burseraceae
TINTEIRA;Miconia minutiflora;Miconia ;Melastomataceae
UCUUBA PRETA;Virola spp ;Virola ;Myristicaceae
EMBARAUBARANA;Pourouma spp ;Pourouma ;Urticaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
SERINGARANA;Rhodothyrsus macrophyllus;Rhodothyrsus ;Euphorbiaceae
FALSA RAINHA;Helianthostylis sprucei;Helianthostylis ;Moraceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
CASTANHA JARANA FG;Lecythis prancei;Lecythis ;Lecythidaceae
CARAIPE;Licania spp ;Licania ;Chrysobalanaceae
TINTEIRA;Miconia minutiflora;Miconia ;Melastomataceae
INGA VERMELHA;Inga paraensis;Inga ;Fabaceae
CASTANHA VERMELHA;Eschweilera atropetiolata;Eschweilera ;Lecythidaceae
MUIRAXIMBE;Rubiaceae spp ;Rubiaceae ;Rubiaceae
MARUPA;Simarouba amara;Simarouba ;Simaroubaceae
INGA VERMELHA;Inga paraensis;Inga ;Fabaceae
UCUUBA PUNA;Iryanthera spp ;Iryanthera ;Myristicaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
LOURO BRANCO;Lauraceae spp ;Lauraceae ;Lauraceae
RIPEIRO VERMELHO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
FIGO BRAVO;Ferdinandusa elliptica;Ferdinandusa ;Rubiaceae
BREU MANGA;Burseraceae spp ;Burseraceae ;Burseraceae
LOURO PRETO;Ocotea cujumary;Ocotea ;Lauraceae
BREU PITOMBA;Protium spp ;Protium ;Burseraceae
MACUCU FOFO;Licania oblongifolia;Licania ;Chrysobalanaceae
INGA BRANCA;Inga spp ;Inga ;Fabaceae
MUIRAJIBOIA PRETA;Bocoa viridiflora;Bocoa ;Fabaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
TAQUARI;Mabea spp ;Mabea ;Euphorbiaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
